MATCH SUMMARY
Date,2025-05-15T13:16:20.062Z
Duration,0:21

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,125,2
2,ninja,0,0
3,skeleton,85,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,skeleton,1
hero,ninja,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,125
ninja,0
skeleton,85
