MATCH SUMMARY
Date,2025-05-15T12:17:57.555Z
Duration,0:21

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,ninja,100,1
2,hero,70,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
ninja,hero,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
ninja,100
hero,70
