MATCH SUMMARY
Date,2025-05-16T16:49:33.289Z
Duration,0:43

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,archer,100,1
2,hero,90,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
archer,hero,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
archer,100
hero,90
