MATCH SUMMARY
Date,2025-05-18T18:49:08.091Z
Duration,0:28

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,80,2
2,ninja,115,0
3,archer,15,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,archer,1
hero,ninja,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,80
ninja,115
archer,15
