MATCH SUMMARY
Date,2025-05-15T16:19:39.222Z
Duration,0:24

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,200,2
2,hero,40,0
3,hero,140,1
4,hero,0,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,hero,3

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,380
