MATCH SUMMARY
Date,2025-05-18T13:37:13.281Z
Duration,0:44

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,160,1
2,archer,60,1
3,ninja,10,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,archer,1
archer,ninja,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,160
archer,60
ninja,10
