MATCH SUMMARY
Date,2025-05-16T14:20:35.642Z
Duration,0:39

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,ninja,100,1
2,hero,0,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
ninja,hero,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
ninja,100
hero,0
