MATCH SUMMARY
Date,2025-05-16T16:42:42.837Z
Duration,0:18

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,200,1
2,tank,30,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,tank,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,200
tank,30
