MATCH SUMMARY
Date,2025-05-16T16:55:17.900Z
Duration,0:21

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,tank,100,1
2,hero,160,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
tank,hero,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
tank,100
hero,160
