MATCH SUMMARY
Date,2025-05-16T16:51:40.026Z
Duration,0:25

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,ninja,80,1
2,skeleton,50,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
ninja,skeleton,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
ninja,80
skeleton,50
