MATCH SUMMARY
Date,2025-05-18T13:47:53.598Z
Duration,0:24

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,100,1
2,ninja,65,1
3,skeleton,135,1
4,archer,40,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,ninja,1
ninja,skeleton,1
skeleton,archer,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,100
ninja,65
skeleton,135
archer,40
