MATCH SUMMARY
Date,2025-05-18T18:48:10.047Z
Duration,0:26

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,170,2
2,ninja,20,0
3,archer,15,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,archer,1
hero,ninja,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,170
ninja,20
archer,15
