MATCH SUMMARY
Date,2025-05-16T13:34:28.186Z
Duration,0:11

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,80,1
2,ninja,0,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,ninja,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,80
ninja,0
