MATCH SUMMARY
Date,2025-05-15T02:45:47.478Z
Duration,6:35

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,archer,200,1
2,tank,0,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
archer,tank,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
archer,200
tank,0
