MATCH SUMMARY
Date,2025-05-16T16:45:23.505Z
Duration,0:23

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,skeleton,80,1
2,skeleton,35,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
skeleton,skeleton,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
skeleton,115
