MATCH SUMMARY
Date,2025-05-16T15:42:14.714Z
Duration,0:29

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,hero,380,3
2,tank,0,0
3,archer,0,0
4,ninja,0,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
hero,ninja,1
hero,archer,1
hero,tank,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
hero,380
tank,0
archer,0
ninja,0
