MATCH SUMMARY
Date,2025-05-15T15:50:54.987Z
Duration,0:52

CHARACTER RANKINGS
Rank,Character,Damage Dealt,Kills
1,archer,110,2
2,hero,225,1
3,tank,50,0
4,skeleton,65,0

KILL BREAKDOWN
Killer Character,Victim Character,Count
archer,skeleton,1
archer,hero,1
hero,tank,1

TOTAL DAMAGE BY CHARACTER
Character,Total Damage
archer,110
hero,225
tank,50
skeleton,65
